question_no,question,option1,option2,option3,option4,correct_answer,description,reference
1,महाराष्ट्र राज्यातील कोणत्या जिल्ह्यातील रोहहणी ग्रामपंचायतीला राष्ट्रीय ई-गव्हर्नस पुरस्कार २०२५ अंतगनत सुवणनपदक देण्यात आले?,र्ंदुरबार,िलगाव,धुळे,र्ाजिक,र्ंदुरबार,N/A,N/A
2,भारताचा पहहला ई-वेस्ट Recycling पाकन कोठे नर्मानण होत आहे?,र्वी हदल्ली,कोलकाता,चेन्नई,मुंबई,मुंबई,N/A,N/A
3,मालदीव देिाची ग्लोबल टुररझम ॲम्बेसेडर म्हणूर् कोणाची नर्युक्ती करण्यात आली?,कररर्ा कपूर,कृती सेर्र्,कररष्मा कपूर,कॅटररर्ा कैफ,कररष्मा कपूर,N/A,N/A
4,रािर्षी िाहू महाराि 2025 पुरस्कार कोणाला िाहीर झाला?,िरदचंद्र पवार,डॉ. तात्या लहार्े,डॉ. िब्बार पटेल,ियजसिंगराव पवार,डॉ. तात्या लहार्े,N/A,N/A
5,कोणते िहर भारताची बबबट्याची रािधार्ी बर्ले आहे?,बेंगळुरू,कोलकाता,भोपाळ,मुंबई,मुंबई,N/A,N/A
6,‘दगडाची पूिा करूर् िर ईश्वरप्राप्ती होत असेल तर मग मी पवनताचीच पूिा करीर्.’ या िब्ांत मूबतिपूिेचा फोलपणा...... यांर्ी दाखवूर् हदला.,गुरू र्ार्क,संत कबीर,महात्मा फुले,रािा राममोहर् रॉय,संत कबीर,N/A,N/A
7,कृष्णा-कोयर्ा संगमावर कोणते ठठकाण वसले आहे?,माहुली,र्रसोबाची वाडी,हररपूर,क-हाड,माहुली,N/A,N/A
8,"‘िर्-गण-मर्’ हे भारताचे राष्ट्रगीत सवनप्रथम २७ नडसेंबर, १९११ रोिी गायले गेले. सर् १९११ मधील हे कॉंग्रेस अजधवेिर् कोठे भरले होते?",मुंबई,वाराणसी,कलकत्ता,अलाहाबाद,कलकत्ता,N/A,N/A
9,सतीप्रथा कायद्यार्े बंद करण्याचे श्रेय... या व्हाईसरायला िाते.,लॉडन बेंनटिंग,लॉडन वेलस्ली,लॉडन कॅनर्िंग,लॉडन डलहौसी,लॉडन वेलस्ली,N/A,N/A
10,मुंबई बवमार्तळाला कोणते र्वीर् र्ाव देण्यात आले आहे?,जिवािी महाराि आंतरराष्ट्रीय बवमार्तळ,बाळासाहेब ठाकरे आंतरराष्ट्रीय बवमार्तळ,यिवंतराव चव्हाण आंतरराष्ट्रीय बवमार्तळ,हद. बा. पाटील आंतरराष्ट्रीय बवमार्तळ,बाळासाहेब ठाकरे आंतरराष्ट्रीय बवमार्तळ,N/A,N/A
